account_id,customer_id,account_type,currency,opening_date,status
ACC000078,CUS000052,CHECKING,USD,2019-03-28,ACTIVE
ACC000079,CUS000052,CHECKING,USD,2021-10-27,ACTIVE
ACC000080,CUS000053,CHECKING,USD,2024-12-26,ACTIVE
ACC000081,CUS000053,SAVINGS,USD,2021-10-16,ACTIVE
ACC000082,CUS000054,CREDIT,PEN,2022-12-03,ACTIVE
ACC000083,CUS000054,CHECKING,PEN,2021-06-13,ACTIVE
ACC000084,CUS000055,SAVINGS,USD,2018-12-31,CLOSED
ACC000085,CUS000056,CHECKING,PEN,2024-09-16,ACTIVE
ACC000086,CUS000056,CHECKING,USD,2020-06-02,ACTIVE
ACC000087,CUS000057,CREDIT,USD,2024-10-16,ACTIVE
ACC000088,CUS000057,SAVINGS,USD,2022-09-14,ACTIVE
ACC000089,CUS000058,CREDIT,PEN,2024-04-27,ACTIVE
ACC000090,CUS000058,SAVINGS,PEN,2021-11-01,CLOSED
ACC000091,CUS000059,SAVINGS,PEN,2020-04-02,ACTIVE
ACC000092,CUS000060,CHECKING,PEN,2022-02-19,ACTIVE
ACC000093,CUS000060,CHECKING,USD,2025-09-30,ACTIVE
ACC000094,CUS000061,CREDIT,PEN,2020-08-16,ACTIVE
ACC000095,CUS000061,CREDIT,USD,2025-01-12,ACTIVE
ACC000096,CUS000062,SAVINGS,PEN,2025-06-08,ACTIVE
ACC000097,CUS000062,CHECKING,USD,2023-04-12,ACTIVE
ACC000098,CUS000063,SAVINGS,USD,2025-12-16,ACTIVE
ACC000099,CUS000064,SAVINGS,PEN,2019-03-23,ACTIVE
ACC000100,CUS000064,SAVINGS,PEN,2021-01-19,ACTIVE
ACC000101,CUS000065,SAVINGS,PEN,2023-12-29,ACTIVE
ACC000102,CUS000066,CHECKING,PEN,2021-06-03,ACTIVE
ACC000103,CUS000066,CREDIT,PEN,2020-12-15,ACTIVE
ACC000104,CUS000067,CHECKING,PEN,2023-06-13,ACTIVE
ACC000105,CUS000067,CHECKING,USD,2019-04-30,ACTIVE
ACC000106,CUS000068,CREDIT,PEN,2025-04-26,CLOSED
ACC000107,CUS000069,CREDIT,USD,2021-04-26,ACTIVE
ACC000108,CUS000069,CREDIT,PEN,2026-02-21,ACTIVE
ACC000109,CUS000070,CHECKING,PEN,2021-04-17,ACTIVE
ACC000110,CUS000070,CREDIT,PEN,2022-11-20,ACTIVE
ACC000111,CUS000071,SAVINGS,PEN,2018-09-04,ACTIVE
ACC000112,CUS000072,CREDIT,USD,2021-03-03,ACTIVE
ACC000113,CUS000073,SAVINGS,USD,2024-02-09,ACTIVE
ACC000114,CUS000074,CHECKING,PEN,2019-10-21,ACTIVE
ACC000115,CUS000075,SAVINGS,PEN,2020-09-23,ACTIVE
ACC000116,CUS000076,SAVINGS,PEN,2025-09-27,ACTIVE
ACC000117,CUS000077,SAVINGS,PEN,2019-10-02,ACTIVE
ACC000118,CUS000078,CHECKING,USD,2025-06-06,ACTIVE
ACC000119,CUS000079,CREDIT,PEN,2021-02-26,ACTIVE
ACC000120,CUS000080,CHECKING,PEN,2025-06-09,DORMANT
ACC000121,CUS000081,CHECKING,PEN,2025-08-22,ACTIVE
ACC000122,CUS000081,CREDIT,USD,2020-03-18,ACTIVE
ACC000123,CUS000082,SAVINGS,USD,2019-08-14,ACTIVE
ACC000124,CUS000083,CHECKING,PEN,2022-11-18,ACTIVE
ACC000125,CUS000083,SAVINGS,PEN,2019-06-17,DORMANT
ACC000126,CUS000084,CREDIT,PEN,2024-11-15,ACTIVE
ACC000127,CUS000085,CREDIT,PEN,2023-09-08,ACTIVE
ACC000128,CUS000085,SAVINGS,PEN,2020-10-14,ACTIVE
ACC000129,CUS000086,SAVINGS,USD,2026-04-01,ACTIVE
ACC000130,CUS000086,SAVINGS,USD,2021-04-13,ACTIVE
ACC000131,CUS000087,SAVINGS,PEN,2023-06-26,ACTIVE
ACC000132,CUS000088,SAVINGS,USD,2021-08-27,ACTIVE
ACC000133,CUS000089,SAVINGS,PEN,2023-11-17,ACTIVE
ACC000134,CUS000090,CHECKING,USD,2018-10-14,ACTIVE
ACC000135,CUS000091,SAVINGS,USD,2023-03-08,ACTIVE
ACC000136,CUS000092,SAVINGS,PEN,2023-09-25,ACTIVE
ACC000137,CUS000092,CHECKING,USD,2019-07-25,ACTIVE
ACC000138,CUS000093,CREDIT,PEN,2020-12-28,ACTIVE
ACC000139,CUS000093,CREDIT,PEN,2024-01-25,ACTIVE
ACC000140,CUS000094,SAVINGS,USD,2020-01-28,ACTIVE
ACC000141,CUS000095,SAVINGS,USD,2024-12-11,ACTIVE
ACC000142,CUS000096,CREDIT,PEN,2022-06-22,ACTIVE
ACC000143,CUS000096,CREDIT,PEN,2021-05-01,ACTIVE
ACC000144,CUS000097,SAVINGS,USD,2025-12-10,ACTIVE
ACC000145,CUS000097,CREDIT,USD,2020-10-19,ACTIVE
ACC000146,CUS000098,SAVINGS,USD,2022-07-18,ACTIVE
ACC000147,CUS000098,CREDIT,PEN,2019-10-14,ACTIVE
ACC000148,CUS000099,CHECKING,USD,2023-07-24,ACTIVE
ACC000149,CUS000100,SAVINGS,USD,2019-07-26,ACTIVE
ACC000150,CUS000101,CREDIT,PEN,2024-09-29,ACTIVE
ACC000151,CUS000101,SAVINGS,PEN,2019-08-23,ACTIVE
ACC000152,CUS000102,CREDIT,PEN,2026-07-09,ACTIVE
ACC000153,CUS000103,CHECKING,PEN,2021-07-16,ACTIVE
ACC000154,CUS000103,SAVINGS,PEN,2023-10-02,ACTIVE
ACC000155,CUS000104,SAVINGS,PEN,2019-07-29,ACTIVE
ACC000156,CUS000104,CHECKING,USD,2020-01-15,ACTIVE
ACC000157,CUS000105,CHECKING,USD,2024-06-04,CLOSED
ACC000158,CUS000106,SAVINGS,PEN,2021-05-02,ACTIVE
ACC000159,CUS000107,CHECKING,USD,2021-02-07,ACTIVE
ACC000160,CUS000108,CHECKING,USD,2020-06-19,ACTIVE
ACC000161,CUS000108,SAVINGS,USD,2019-09-19,ACTIVE
ACC000162,CUS000109,SAVINGS,PEN,2023-09-05,ACTIVE
ACC000163,CUS000109,CREDIT,USD,2025-12-12,ACTIVE
ACC000164,CUS000110,SAVINGS,USD,2024-02-17,ACTIVE
ACC000165,CUS000111,CREDIT,PEN,2024-02-08,ACTIVE
ACC000166,CUS000111,CHECKING,USD,2020-06-06,ACTIVE
ACC000167,CUS000112,SAVINGS,PEN,2023-03-18,CLOSED
ACC000168,CUS000112,SAVINGS,USD,2022-07-09,ACTIVE
ACC000169,CUS000113,CHECKING,PEN,2024-06-08,ACTIVE
ACC000170,CUS000114,CREDIT,USD,2024-06-28,ACTIVE
ACC000171,CUS000115,SAVINGS,USD,2018-10-03,ACTIVE
ACC000172,CUS000116,CREDIT,PEN,2023-03-03,ACTIVE
ACC000173,CUS000117,CHECKING,USD,2022-12-19,ACTIVE
ACC000174,CUS000118,SAVINGS,PEN,2023-02-06,ACTIVE
ACC000175,CUS000119,CREDIT,PEN,2020-03-26,ACTIVE
ACC000176,CUS000120,CREDIT,PEN,2024-11-30,ACTIVE
ACC000177,CUS000121,CREDIT,USD,2019-10-03,ACTIVE
ACC000178,CUS000122,SAVINGS,USD,2026-05-12,ACTIVE
ACC000179,CUS000123,SAVINGS,USD,2022-10-15,ACTIVE
ACC000180,CUS000123,CREDIT,PEN,2025-05-23,ACTIVE
ACC000181,CUS000124,CREDIT,USD,2022-01-22,ACTIVE
ACC000182,CUS000125,CREDIT,PEN,2025-05-29,ACTIVE
ACC000183,CUS000125,CREDIT,USD,2025-11-30,ACTIVE
ACC000184,CUS000126,SAVINGS,USD,2024-06-01,DORMANT
ACC000185,CUS000126,SAVINGS,PEN,2025-02-04,ACTIVE
ACC000186,CUS000127,SAVINGS,USD,2018-11-26,ACTIVE
ACC000187,CUS000128,SAVINGS,USD,2023-11-17,ACTIVE
ACC000188,CUS000128,CHECKING,USD,2019-04-26,ACTIVE
ACC000189,CUS000129,SAVINGS,USD,2022-04-05,ACTIVE
ACC000190,CUS000130,CHECKING,PEN,2020-12-24,ACTIVE
ACC000191,CUS000131,CREDIT,USD,2021-06-10,ACTIVE
ACC000192,CUS000132,CHECKING,USD,2024-07-03,ACTIVE
ACC000193,CUS000132,CHECKING,USD,2024-01-03,ACTIVE
ACC000194,CUS000133,CHECKING,USD,2020-07-07,ACTIVE
ACC000195,CUS000134,CREDIT,USD,2021-10-02,ACTIVE
ACC000196,CUS000135,CHECKING,PEN,2025-03-30,ACTIVE
ACC000197,CUS000135,SAVINGS,USD,2026-05-05,ACTIVE
ACC000198,CUS000136,CREDIT,USD,2021-09-08,DORMANT
ACC000199,CUS000136,SAVINGS,USD,2025-07-02,ACTIVE
ACC000200,CUS000137,CREDIT,PEN,2023-10-27,ACTIVE
ACC000201,CUS000137,CHECKING,PEN,2023-09-28,ACTIVE
ACC000202,CUS000138,SAVINGS,USD,2020-04-26,ACTIVE
ACC000203,CUS000138,CHECKING,PEN,2024-05-28,ACTIVE
ACC000204,CUS000139,CREDIT,PEN,2021-01-08,ACTIVE
ACC000205,CUS000139,SAVINGS,PEN,2022-06-08,DORMANT
ACC000206,CUS000140,CHECKING,USD,2021-03-20,ACTIVE
ACC000207,CUS000141,CREDIT,USD,2022-07-04,ACTIVE
ACC000208,CUS000142,CREDIT,USD,2021-11-03,CLOSED
ACC000209,CUS000142,SAVINGS,PEN,2020-12-14,ACTIVE
ACC000210,CUS000143,SAVINGS,PEN,2023-04-16,ACTIVE
ACC000211,CUS000143,CREDIT,USD,2022-02-23,DORMANT
ACC000212,CUS000144,CREDIT,USD,2019-10-02,ACTIVE
ACC000213,CUS000144,CREDIT,PEN,2022-07-22,ACTIVE
ACC000214,CUS000145,SAVINGS,USD,2022-02-20,ACTIVE
ACC000215,CUS000145,SAVINGS,PEN,2022-05-05,ACTIVE
ACC000216,CUS000146,CHECKING,USD,2023-04-13,ACTIVE
ACC000217,CUS000147,SAVINGS,PEN,2025-01-02,ACTIVE
ACC000218,CUS000148,SAVINGS,PEN,2019-04-06,ACTIVE
ACC000219,CUS000148,SAVINGS,PEN,2018-09-07,ACTIVE
ACC000220,CUS000149,CHECKING,USD,2019-10-30,ACTIVE
ACC000221,CUS000150,CHECKING,PEN,2025-04-04,ACTIVE
ACC000222,CUS000151,CREDIT,USD,2025-01-11,ACTIVE
ACC000223,CUS000151,SAVINGS,USD,2024-02-13,ACTIVE
ACC000224,CUS000152,CREDIT,PEN,2026-03-15,ACTIVE
ACC000225,CUS000153,CREDIT,PEN,2020-01-06,ACTIVE
ACC000226,CUS000154,SAVINGS,PEN,2019-05-30,ACTIVE
ACC000227,CUS000155,SAVINGS,USD,2026-01-22,ACTIVE
ACC000228,CUS000155,CREDIT,USD,2025-05-14,CLOSED
ACC000229,CUS000156,SAVINGS,USD,2022-04-19,ACTIVE
ACC000230,CUS000157,CHECKING,USD,2022-05-19,ACTIVE
ACC000231,CUS000158,SAVINGS,USD,2021-05-19,ACTIVE
ACC000232,CUS000159,CREDIT,USD,2023-04-10,ACTIVE
ACC000233,CUS000159,CHECKING,USD,2018-10-22,ACTIVE
ACC000234,CUS000160,SAVINGS,USD,2025-01-30,CLOSED
ACC000235,CUS000160,CHECKING,PEN,2021-08-02,ACTIVE
ACC000236,CUS000161,SAVINGS,USD,2019-02-02,ACTIVE
ACC000237,CUS000162,SAVINGS,PEN,2024-08-09,ACTIVE
ACC000238,CUS000163,CHECKING,USD,2025-05-02,ACTIVE
ACC000239,CUS000164,CHECKING,USD,2021-12-25,ACTIVE
ACC000240,CUS000165,CREDIT,PEN,2025-11-18,ACTIVE
ACC000241,CUS000165,SAVINGS,USD,2026-07-10,ACTIVE
ACC000242,CUS000166,CHECKING,PEN,2023-07-03,ACTIVE
ACC000243,CUS000166,CREDIT,PEN,2025-08-05,ACTIVE
ACC000244,CUS000167,CREDIT,USD,2021-06-04,ACTIVE
ACC000245,CUS000167,CHECKING,USD,2023-09-01,ACTIVE
ACC000246,CUS000168,CREDIT,USD,2023-08-17,ACTIVE
ACC000247,CUS000168,SAVINGS,PEN,2021-01-16,ACTIVE
ACC000248,CUS000169,CHECKING,USD,2021-10-06,ACTIVE
ACC000249,CUS000170,CHECKING,PEN,2021-12-14,ACTIVE
ACC000250,CUS000170,CHECKING,USD,2023-08-07,ACTIVE
ACC000251,CUS000171,CREDIT,USD,2022-10-28,ACTIVE
ACC000252,CUS000171,SAVINGS,USD,2020-03-29,ACTIVE
ACC000253,CUS000172,SAVINGS,PEN,2024-06-28,ACTIVE
ACC000254,CUS000172,CREDIT,USD,2021-04-29,ACTIVE
ACC000255,CUS000173,CREDIT,PEN,2022-01-20,ACTIVE
ACC000256,CUS000173,CHECKING,USD,2024-12-16,ACTIVE
ACC000257,CUS000174,SAVINGS,PEN,2026-01-24,DORMANT
ACC000258,CUS000174,SAVINGS,USD,2023-12-11,ACTIVE
ACC000259,CUS000175,SAVINGS,PEN,2023-04-26,ACTIVE
ACC000260,CUS000175,CREDIT,USD,2020-02-29,ACTIVE
ACC000261,CUS000176,SAVINGS,PEN,2021-03-28,CLOSED
ACC000262,CUS000177,SAVINGS,USD,2024-07-16,ACTIVE
ACC000263,CUS000178,CREDIT,USD,2021-03-03,ACTIVE
ACC000264,CUS000179,CREDIT,PEN,2020-08-27,ACTIVE
ACC000265,CUS000179,CHECKING,PEN,2019-12-30,ACTIVE
ACC000266,CUS000180,CREDIT,PEN,2025-08-22,ACTIVE
ACC000267,CUS000181,CREDIT,PEN,2019-07-26,ACTIVE
ACC000268,CUS000182,SAVINGS,USD,2020-12-30,ACTIVE
ACC000269,CUS000183,SAVINGS,USD,2025-11-13,DORMANT
ACC000270,CUS000183,CHECKING,PEN,2023-02-02,ACTIVE
ACC000271,CUS000184,CREDIT,USD,2026-07-15,ACTIVE
ACC000272,CUS000184,CREDIT,PEN,2024-12-29,ACTIVE
ACC000273,CUS000185,CREDIT,PEN,2023-10-24,ACTIVE
ACC000274,CUS000185,SAVINGS,USD,2025-05-02,ACTIVE
ACC000275,CUS000186,SAVINGS,USD,2022-05-21,ACTIVE
ACC000276,CUS000187,SAVINGS,USD,2018-10-08,ACTIVE
ACC000277,CUS000187,CREDIT,USD,2025-09-06,ACTIVE
ACC000278,CUS000188,CREDIT,PEN,2019-06-25,ACTIVE
ACC000279,CUS000188,CHECKING,USD,2024-02-19,ACTIVE
ACC000280,CUS000189,CREDIT,USD,2019-06-22,ACTIVE
ACC000281,CUS000189,SAVINGS,PEN,2018-12-30,ACTIVE
ACC000282,CUS000190,CREDIT,PEN,2023-03-17,ACTIVE
ACC000283,CUS000191,CREDIT,PEN,2019-05-19,ACTIVE
ACC000284,CUS000192,SAVINGS,USD,2025-11-14,ACTIVE
ACC000285,CUS000193,CREDIT,PEN,2021-08-24,ACTIVE
ACC000286,CUS000193,CREDIT,PEN,2026-06-22,CLOSED
ACC000287,CUS000194,CHECKING,PEN,2022-04-02,ACTIVE
ACC000288,CUS000195,CREDIT,USD,2019-07-03,ACTIVE
ACC000289,CUS000195,CREDIT,PEN,2022-04-23,ACTIVE
ACC000290,CUS000196,CREDIT,PEN,2022-04-10,ACTIVE
ACC000291,CUS000196,SAVINGS,USD,2022-04-29,ACTIVE
ACC000292,CUS000197,CHECKING,USD,2024-09-30,ACTIVE
ACC000293,CUS000197,CHECKING,PEN,2019-05-30,ACTIVE
ACC000294,CUS000198,CHECKING,USD,2018-12-07,ACTIVE
ACC000295,CUS000199,CREDIT,PEN,2026-06-03,DORMANT
ACC000296,CUS000200,CREDIT,USD,2020-03-13,ACTIVE
ACC000297,CUS000201,SAVINGS,USD,2019-12-14,ACTIVE
ACC000298,CUS000201,CHECKING,PEN,2025-04-30,CLOSED
ACC000299,CUS000202,CHECKING,PEN,2026-07-13,ACTIVE
ACC000300,CUS000202,CREDIT,PEN,2024-09-02,ACTIVE
ACC000301,CUS000203,CHECKING,PEN,2018-09-07,ACTIVE
ACC000302,CUS000204,CHECKING,PEN,2023-05-06,DORMANT
ACC000303,CUS000205,CHECKING,PEN,2022-08-21,ACTIVE
ACC000304,CUS000206,CREDIT,PEN,2024-10-06,ACTIVE
ACC000305,CUS000206,CREDIT,PEN,2022-08-21,DORMANT
ACC000306,CUS000207,CREDIT,USD,2025-06-01,ACTIVE
ACC000307,CUS000207,CHECKING,USD,2021-07-11,DORMANT
ACC000308,CUS000208,CHECKING,USD,2025-07-28,ACTIVE
ACC000309,CUS000208,CREDIT,PEN,2020-03-30,ACTIVE
ACC000310,CUS000209,SAVINGS,USD,2024-11-20,ACTIVE
ACC000311,CUS000209,SAVINGS,USD,2019-01-21,ACTIVE
ACC000312,CUS000210,SAVINGS,USD,2020-11-18,DORMANT
ACC000313,CUS000211,CREDIT,USD,2020-06-01,ACTIVE
ACC000314,CUS000211,SAVINGS,PEN,2025-07-07,ACTIVE
ACC000315,CUS000212,SAVINGS,USD,2025-08-01,ACTIVE
ACC000316,CUS000213,CREDIT,PEN,2022-11-12,ACTIVE
ACC000317,CUS000214,CREDIT,PEN,2019-03-23,ACTIVE
ACC000318,CUS000215,SAVINGS,USD,2020-02-23,ACTIVE
ACC000319,CUS000215,CREDIT,USD,2026-05-17,ACTIVE
ACC000320,CUS000216,SAVINGS,USD,2023-10-03,ACTIVE
ACC000321,CUS000216,CHECKING,PEN,2024-09-24,ACTIVE
ACC000322,CUS000217,CREDIT,USD,2021-11-24,ACTIVE
ACC000323,CUS000217,CHECKING,USD,2022-05-23,ACTIVE
ACC000324,CUS000218,CHECKING,USD,2026-01-07,ACTIVE
ACC000325,CUS000219,SAVINGS,PEN,2024-09-06,ACTIVE
ACC000326,CUS000220,CREDIT,PEN,2021-07-17,ACTIVE
ACC000327,CUS000221,CHECKING,PEN,2023-02-19,ACTIVE
ACC000328,CUS000221,CHECKING,USD,2020-05-25,DORMANT
ACC000329,CUS000222,CREDIT,PEN,2019-09-11,ACTIVE
ACC000330,CUS000223,CREDIT,USD,2021-09-24,ACTIVE
ACC000331,CUS000223,CHECKING,USD,2019-06-27,ACTIVE
ACC000332,CUS000224,SAVINGS,PEN,2022-01-03,ACTIVE
ACC000333,CUS000224,CHECKING,USD,2023-04-08,ACTIVE
ACC000334,CUS000225,CREDIT,PEN,2024-01-02,ACTIVE
ACC000335,CUS000226,CHECKING,USD,2018-10-14,ACTIVE
ACC000336,CUS000226,SAVINGS,PEN,2026-07-21,ACTIVE
ACC000337,CUS000227,CHECKING,USD,2019-11-16,ACTIVE
ACC000338,CUS000227,CHECKING,PEN,2023-07-27,ACTIVE
ACC000339,CUS000228,CREDIT,PEN,2018-10-07,ACTIVE
ACC000340,CUS000228,SAVINGS,PEN,2022-01-08,ACTIVE
ACC000341,CUS000229,SAVINGS,USD,2021-09-28,ACTIVE
ACC000342,CUS000230,SAVINGS,USD,2023-04-27,ACTIVE
ACC000343,CUS000231,CHECKING,USD,2022-10-09,CLOSED
ACC000344,CUS000232,CREDIT,USD,2019-08-19,ACTIVE
ACC000345,CUS000233,CHECKING,PEN,2021-08-09,ACTIVE
ACC000346,CUS000234,SAVINGS,PEN,2020-05-27,ACTIVE
ACC000347,CUS000234,CHECKING,USD,2025-01-05,ACTIVE
ACC000348,CUS000235,SAVINGS,USD,2024-07-18,ACTIVE
ACC000349,CUS000235,CHECKING,PEN,2024-05-25,CLOSED
ACC000350,CUS000236,CREDIT,PEN,2024-11-12,ACTIVE
ACC000351,CUS000237,CREDIT,PEN,2022-06-02,ACTIVE
ACC000352,CUS000237,CREDIT,USD,2026-02-21,ACTIVE
ACC000353,CUS000238,SAVINGS,USD,2024-07-08,ACTIVE
ACC000354,CUS000238,CHECKING,USD,2023-06-21,ACTIVE
ACC000355,CUS000239,CHECKING,USD,2023-01-11,ACTIVE
ACC000356,CUS000240,CREDIT,USD,2021-07-12,ACTIVE
ACC000357,CUS000240,SAVINGS,USD,2018-11-19,ACTIVE
ACC000358,CUS000241,CREDIT,USD,2023-05-25,ACTIVE
ACC000359,CUS000241,CREDIT,PEN,2021-04-30,ACTIVE
ACC000360,CUS000242,CHECKING,PEN,2023-09-19,ACTIVE
ACC000361,CUS000242,CREDIT,USD,2019-03-06,ACTIVE
ACC000362,CUS000243,SAVINGS,PEN,2025-10-13,ACTIVE
ACC000363,CUS000244,SAVINGS,USD,2024-06-10,CLOSED
ACC000364,CUS000245,CHECKING,PEN,2021-04-29,ACTIVE
ACC000365,CUS000245,CHECKING,PEN,2022-09-24,ACTIVE
ACC000366,CUS000246,SAVINGS,PEN,2020-05-19,ACTIVE
ACC000367,CUS000247,CREDIT,PEN,2019-01-23,ACTIVE
ACC000368,CUS000247,CHECKING,PEN,2021-09-28,ACTIVE
ACC000369,CUS000248,CREDIT,USD,2022-07-23,ACTIVE
ACC000370,CUS000249,SAVINGS,USD,2025-03-11,ACTIVE
ACC000371,CUS000250,CHECKING,USD,2018-09-21,ACTIVE
ACC000372,CUS000251,SAVINGS,PEN,2021-03-30,DORMANT
ACC000373,CUS000251,CREDIT,PEN,2020-06-28,CLOSED
ACC000374,CUS000252,CREDIT,USD,2020-04-12,ACTIVE
ACC000375,CUS000252,CHECKING,USD,2019-04-03,ACTIVE
ACC000376,CUS000253,SAVINGS,PEN,2025-01-12,CLOSED
ACC000377,CUS000253,CREDIT,PEN,2021-05-21,ACTIVE
ACC000378,CUS000254,CHECKING,USD,2020-08-04,CLOSED
ACC000379,CUS000255,CHECKING,PEN,2023-02-07,CLOSED
ACC000380,CUS000256,SAVINGS,USD,2026-03-29,ACTIVE
ACC000381,CUS000257,CREDIT,USD,2023-02-07,ACTIVE
ACC000382,CUS000257,CHECKING,PEN,2022-02-08,ACTIVE
ACC000383,CUS000258,SAVINGS,USD,2021-01-14,ACTIVE
ACC000384,CUS000258,SAVINGS,PEN,2025-10-21,ACTIVE
ACC000385,CUS000259,CHECKING,PEN,2020-10-19,ACTIVE
ACC000386,CUS000260,CHECKING,USD,2018-10-23,ACTIVE
ACC000387,CUS000261,CHECKING,USD,2025-07-31,ACTIVE
ACC000388,CUS000261,CHECKING,USD,2024-12-24,ACTIVE
ACC000389,CUS000262,CHECKING,USD,2018-10-28,ACTIVE
ACC000390,CUS000263,CHECKING,PEN,2019-09-27,ACTIVE
